label,text
1,Congratulations! You've won a free gift. Click the link to claim your prize.
1,Exclusive deal just for you! 50% off all products today only.
1,Urgent: Your account has been compromised. Verify your details now!
1,Get rich quick with this simple investment opportunity. Act fast!
1,You've been selected for a special reward. Don't miss out!
0,"Hey, are we still on for the meeting tomorrow at 10 AM?"
0,Project update: The latest report is attached. Let me know your thoughts.
0,Happy Birthday! Hope you have an amazing day.
0,Reminder: Your dentist appointment is scheduled for Friday at 3 PM.
0,Weekly newsletter: Here are the top stories you might have missed.
0,Family trip planning: Let’s decide on the destination this weekend.
